modelo,mae,rmse
Prophet,0.4489790201762422,0.5912892718568152
ARIMA,0.4528587961673393,0.6271486053423287
Mean,0.4566666666666667,0.6273840956078935
Naive,0.6183333333333334,0.7843362374220213
